Amostra;Freq;Set Power;SF;BW;Power;Consumption
26;868;14;7;0;14.68;0.092284
26;868;14;7;2;14.51;0.081805
26;868;14;12;0;14.66;0.092378
26;868;14;12;2;14.67;0.092734
26;868;22;7;0;22.01;0.138277
26;868;22;7;2;21.93;0.122133
26;868;22;12;0;22.02;0.138189
26;868;22;12;2;22.02;0.13865
26;915;14;7;0;14.41;0.092299
26;915;14;7;2;14.27;0.0818
26;915;14;12;0;14.38;0.092425
26;915;14;12;2;14.4;0.092697
26;915;22;7;0;22.44;0.142426
26;915;22;7;2;22.28;0.125604
26;915;22;12;0;22.43;0.142166
26;915;22;12;2;22.44;0.142678
26;923;14;7;0;14.32;0.092204
26;923;14;7;2;14.17;0.081722
26;923;14;12;0;14.31;0.092341
26;923;14;12;2;14.32;0.092608
26;923;22;7;0;22.45;0.142094
26;923;22;7;2;22.34;0.125413
26;923;22;12;0;22.45;0.142028
26;923;22;12;2;22.46;0.142539
27;433;14;7;0;14.63;0.088783
27;433;14;7;2;14.48;0.078658
27;433;14;12;0;14.65;0.088892
27;433;14;12;2;14.63;0.089179
27;433;22;7;0;21.84;0.142083
27;433;22;7;2;21.73;0.125421
27;433;22;12;0;21.83;0.142109
27;433;22;12;2;21.82;0.142403
27;470;14;7;0;14.79;0.093569
27;470;14;7;2;14.61;0.082901
27;470;14;12;0;14.8;0.093661
27;470;14;12;2;14.8;0.093951
27;470;22;7;0;21.6;0.146184
27;470;22;7;2;21.44;0.129107
27;470;22;12;0;21.58;0.146103
27;470;22;12;2;21.59;0.14647
27;868;14;7;0;14.75;0.093149
27;868;14;7;2;14.58;0.082535
27;868;14;12;0;14.76;0.093199
27;868;14;12;2;14.76;0.093567
27;868;22;7;0;22.06;0.14023
27;868;22;7;2;21.89;0.123737
27;868;22;12;0;22.05;0.140248
27;868;22;12;2;22.04;0.140641
27;915;14;7;0;14.46;0.092979
27;915;14;7;2;14.27;0.08237
27;915;14;12;0;14.46;0.093081
27;915;14;12;2;14.46;0.0934
27;915;22;7;0;22.5;0.144138
27;915;22;7;2;22.36;0.127126
27;915;22;12;0;22.49;0.144002
27;915;22;12;2;22.49;0.144516
27;923;14;7;0;14.37;0.092873
27;923;14;7;2;14.2;0.082276
27;923;14;12;0;14.38;0.09296
27;923;14;12;2;14.37;0.093257
27;923;22;7;0;22.52;0.143785
27;923;22;7;2;22.43;0.126899
27;923;22;12;0;22.5;0.143608
27;923;22;12;2;22.51;0.144153
28;433;14;7;0;14.57;0.087785
28;433;14;7;2;14.42;0.077786
28;433;14;12;0;14.59;0.087921
28;433;14;12;2;14.59;0.088184
28;433;22;7;0;21.68;0.139458
28;433;22;7;2;21.56;0.123023
28;433;22;12;0;21.69;0.139455
